DateTime;Players
11.06.2020 00:00;96
12.06.2020 00:00;508
13.06.2020 00:00;1080
14.06.2020 00:00;1545
15.06.2020 00:00;1365
16.06.2020 00:00;1395
17.06.2020 00:00;1302
18.06.2020 00:00;1261
19.06.2020 00:00;1236
20.06.2020 00:00;1495
21.06.2020 00:00;1637
22.06.2020 00:00;1255
23.06.2020 00:00;1203
24.06.2020 00:00;1181
25.06.2020 00:00;1080
26.06.2020 00:00;1139
27.06.2020 00:00;1246
28.06.2020 00:00;1426
29.06.2020 00:00;1111
30.06.2020 00:00;1033
01.07.2020 00:00;1119
02.07.2020 00:00;1053
03.07.2020 00:00;1196
04.07.2020 00:00;1375
05.07.2020 00:00;1689
06.07.2020 00:00;1363
07.07.2020 00:00;1317
08.07.2020 00:00;1322
09.07.2020 00:00;1323
10.07.2020 00:00;1263
11.07.2020 00:00;1411
12.07.2020 00:00;1470
13.07.2020 00:00;1095
14.07.2020 00:00;1018
15.07.2020 00:00;948
16.07.2020 00:00;876
17.07.2020 00:00;849
18.07.2020 00:00;976
19.07.2020 00:00;1069
20.07.2020 00:00;785
21.07.2020 00:00;747
22.07.2020 00:00;696
23.07.2020 00:00;660
24.07.2020 00:00;638
25.07.2020 00:00;719
26.07.2020 00:00;874
27.07.2020 00:00;633
28.07.2020 00:00;571
29.07.2020 00:00;562
30.07.2020 00:00;562
31.07.2020 00:00;509
01.08.2020 00:00;646
02.08.2020 00:00;738
03.08.2020 00:00;585
04.08.2020 00:00;533
05.08.2020 00:00;479
06.08.2020 00:00;449
07.08.2020 00:00;415
08.08.2020 00:00;488
09.08.2020 00:00;583
10.08.2020 00:00;452
11.08.2020 00:00;408
12.08.2020 00:00;424
13.08.2020 00:00;384
14.08.2020 00:00;362
15.08.2020 00:00;468
16.08.2020 00:00;532
17.08.2020 00:00;427
18.08.2020 00:00;361
19.08.2020 00:00;355
20.08.2020 00:00;336
21.08.2020 00:00;367
22.08.2020 00:00;458
23.08.2020 00:00;486
24.08.2020 00:00;371
25.08.2020 00:00;389
26.08.2020 00:00;351
27.08.2020 00:00;332
28.08.2020 00:00;352
29.08.2020 00:00;418
30.08.2020 00:00;463
31.08.2020 00:00;359
01.09.2020 00:00;404
02.09.2020 00:00;418
03.09.2020 00:00;466
04.09.2020 00:00;821
05.09.2020 00:00;1312
06.09.2020 00:00;1613
07.09.2020 00:00;1721
08.09.2020 00:00;1480
09.09.2020 00:00;1473
10.09.2020 00:00;1534
11.09.2020 00:00;1517
12.09.2020 00:00;1807
13.09.2020 00:00;2005
14.09.2020 00:00;1461
15.09.2020 00:00;1345
16.09.2020 00:00;1261
17.09.2020 00:00;1151
18.09.2020 00:00;1089
19.09.2020 00:00;1307
20.09.2020 00:00;1313
21.09.2020 00:00;999
22.09.2020 00:00;911
23.09.2020 00:00;847
24.09.2020 00:00;813
25.09.2020 00:00;802
26.09.2020 00:00;984
27.09.2020 00:00;1038
28.09.2020 00:00;758
29.09.2020 00:00;722
30.09.2020 00:00;651
01.10.2020 00:00;629
02.10.2020 00:00;622
03.10.2020 00:00;841
04.10.2020 00:00;902
05.10.2020 00:00;639
06.10.2020 00:00;617
07.10.2020 00:00;593
08.10.2020 00:00;578
09.10.2020 00:00;591
10.10.2020 00:00;690
11.10.2020 00:00;763
12.10.2020 00:00;677
13.10.2020 00:00;571
14.10.2020 00:00;561
15.10.2020 00:00;532
16.10.2020 00:00;514
17.10.2020 00:00;631
18.10.2020 00:00;698
19.10.2020 00:00;558
20.10.2020 00:00;554
21.10.2020 00:00;516
22.10.2020 00:00;478
23.10.2020 00:00;448
24.10.2020 00:00;585
25.10.2020 00:00;709
26.10.2020 00:00;998
27.10.2020 00:00;1313
28.10.2020 00:00;1457
29.10.2020 00:00;1518
30.10.2020 00:00;1512
31.10.2020 00:00;1714
01.11.2020 00:00;1951
02.11.2020 00:00;1631
03.11.2020 00:00;1440
04.11.2020 00:00;1363
05.11.2020 00:00;1275
06.11.2020 00:00;1259
07.11.2020 00:00;1460
08.11.2020 00:00;1547
09.11.2020 00:00;1213
10.11.2020 00:00;1123
11.11.2020 00:00;1137
12.11.2020 00:00;1016
13.11.2020 00:00;986
14.11.2020 00:00;1187
15.11.2020 00:00;1257
16.11.2020 00:00;945
17.11.2020 00:00;843
18.11.2020 00:00;853
19.11.2020 00:00;786
20.11.2020 00:00;832
21.11.2020 00:00;956
22.11.2020 00:00;1038
23.11.2020 00:00;822
24.11.2020 00:00;744
25.11.2020 00:00;715
26.11.2020 00:00;955
27.11.2020 00:00;1272
28.11.2020 00:00;1654
29.11.2020 00:00;1831
30.11.2020 00:00;1495
01.12.2020 00:00;1451
02.12.2020 00:00;1375
03.12.2020 00:00;1281
04.12.2020 00:00;1272
05.12.2020 00:00;1506
06.12.2020 00:00;1561
07.12.2020 00:00;1208
08.12.2020 00:00;1080
09.12.2020 00:00;989
10.12.2020 00:00;845
11.12.2020 00:00;890
12.12.2020 00:00;1098
13.12.2020 00:00;1139
14.12.2020 00:00;896
15.12.2020 00:00;1184
16.12.2020 00:00;1367
17.12.2020 00:00;1468
18.12.2020 00:00;1562
19.12.2020 00:00;2020
20.12.2020 00:00;2438
21.12.2020 00:00;2189
22.12.2020 00:00;2050
23.12.2020 00:00;1946
24.12.2020 00:00;1808
25.12.2020 00:00;2049
26.12.2020 00:00;2455
27.12.2020 00:00;2530
28.12.2020 00:00;2440
