DateTime;Players
01.03.2014 00:00;18
02.03.2014 00:00;
03.03.2014 00:00;
04.03.2014 00:00;
05.03.2014 00:00;
06.03.2014 00:00;
07.03.2014 00:00;
08.03.2014 00:00;
09.03.2014 00:00;
10.03.2014 00:00;
11.03.2014 00:00;
12.03.2014 00:00;
13.03.2014 00:00;
14.03.2014 00:00;
15.03.2014 00:00;
16.03.2014 00:00;
17.03.2014 00:00;
18.03.2014 00:00;
19.03.2014 00:00;
20.03.2014 00:00;
21.03.2014 00:00;
22.03.2014 00:00;
23.03.2014 00:00;
24.03.2014 00:00;
25.03.2014 00:00;
26.03.2014 00:00;
27.03.2014 00:00;
28.03.2014 00:00;
29.03.2014 00:00;
30.03.2014 00:00;
31.03.2014 00:00;
01.04.2014 00:00;79528
02.04.2014 00:00;
03.04.2014 00:00;
04.04.2014 00:00;
05.04.2014 00:00;
06.04.2014 00:00;
07.04.2014 00:00;
08.04.2014 00:00;
09.04.2014 00:00;
10.04.2014 00:00;
11.04.2014 00:00;
12.04.2014 00:00;
13.04.2014 00:00;
14.04.2014 00:00;
15.04.2014 00:00;
16.04.2014 00:00;
17.04.2014 00:00;
18.04.2014 00:00;
19.04.2014 00:00;
20.04.2014 00:00;
21.04.2014 00:00;
22.04.2014 00:00;
23.04.2014 00:00;
24.04.2014 00:00;68912
25.04.2014 00:00;77086
26.04.2014 00:00;79523
27.04.2014 00:00;76508
28.04.2014 00:00;61904
29.04.2014 00:00;58587
30.04.2014 00:00;56946
01.05.2014 00:00;62791
02.05.2014 00:00;56474
03.05.2014 00:00;63038
04.05.2014 00:00;59480
05.05.2014 00:00;44761
06.05.2014 00:00;42896
07.05.2014 00:00;41658
08.05.2014 00:00;39925
09.05.2014 00:00;45739
10.05.2014 00:00;44891
11.05.2014 00:00;41419
12.05.2014 00:00;32732
13.05.2014 00:00;31383
14.05.2014 00:00;28776
15.05.2014 00:00;28977
16.05.2014 00:00;32672
17.05.2014 00:00;34185
18.05.2014 00:00;32007
19.05.2014 00:00;25223
20.05.2014 00:00;23382
21.05.2014 00:00;22839
22.05.2014 00:00;23073
23.05.2014 00:00;25831
24.05.2014 00:00;26197
25.05.2014 00:00;25141
26.05.2014 00:00;23181
27.05.2014 00:00;18424
28.05.2014 00:00;18435
29.05.2014 00:00;17694
30.05.2014 00:00;19484
31.05.2014 00:00;20207
01.06.2014 00:00;20171
02.06.2014 00:00;15508
03.06.2014 00:00;15453
04.06.2014 00:00;15236
05.06.2014 00:00;15261
06.06.2014 00:00;17298
07.06.2014 00:00;17829
08.06.2014 00:00;17232
09.06.2014 00:00;14576
10.06.2014 00:00;13711
11.06.2014 00:00;13285
12.06.2014 00:00;13037
13.06.2014 00:00;14596
14.06.2014 00:00;14886
15.06.2014 00:00;13996
16.06.2014 00:00;12339
17.06.2014 00:00;11621
18.06.2014 00:00;11301
19.06.2014 00:00;11270
20.06.2014 00:00;12348
21.06.2014 00:00;13036
22.06.2014 00:00;12480
23.06.2014 00:00;10949
24.06.2014 00:00;10404
25.06.2014 00:00;10090
26.06.2014 00:00;10072
27.06.2014 00:00;11057
28.06.2014 00:00;12318
29.06.2014 00:00;11778
30.06.2014 00:00;11369
01.07.2014 00:00;19797
02.07.2014 00:00;10725
03.07.2014 00:00;11044
04.07.2014 00:00;11283
05.07.2014 00:00;11976
06.07.2014 00:00;11359
07.07.2014 00:00;9971
08.07.2014 00:00;9648
09.07.2014 00:00;9264
10.07.2014 00:00;9152
11.07.2014 00:00;10130
12.07.2014 00:00;10745
13.07.2014 00:00;9464
14.07.2014 00:00;9509
15.07.2014 00:00;9427
16.07.2014 00:00;8994
17.07.2014 00:00;9657
18.07.2014 00:00;10651
19.07.2014 00:00;11829
20.07.2014 00:00;11462
21.07.2014 00:00;19815
22.07.2014 00:00;18767
23.07.2014 00:00;15703
24.07.2014 00:00;14882
25.07.2014 00:00;15587
26.07.2014 00:00;16495
27.07.2014 00:00;15880
28.07.2014 00:00;13851
29.07.2014 00:00;12753
30.07.2014 00:00;12006
31.07.2014 00:00;11611
01.08.2014 00:00;18980
02.08.2014 00:00;13314
03.08.2014 00:00;12463
04.08.2014 00:00;11564
05.08.2014 00:00;10865
06.08.2014 00:00;10738
07.08.2014 00:00;10421
08.08.2014 00:00;11017
09.08.2014 00:00;12182
10.08.2014 00:00;11587
11.08.2014 00:00;10083
12.08.2014 00:00;9861
13.08.2014 00:00;9474
14.08.2014 00:00;9159
15.08.2014 00:00;10019
16.08.2014 00:00;10892
17.08.2014 00:00;10439
18.08.2014 00:00;9351
19.08.2014 00:00;8884
20.08.2014 00:00;8664
21.08.2014 00:00;8495
22.08.2014 00:00;9864
23.08.2014 00:00;10514
24.08.2014 00:00;10147
25.08.2014 00:00;19041
26.08.2014 00:00;17663
27.08.2014 00:00;14649
28.08.2014 00:00;12902
29.08.2014 00:00;14485
30.08.2014 00:00;14763
31.08.2014 00:00;13903
01.09.2014 00:00;14299
02.09.2014 00:00;10356
03.09.2014 00:00;9950
04.09.2014 00:00;9873
05.09.2014 00:00;12167
06.09.2014 00:00;12420
07.09.2014 00:00;11149
08.09.2014 00:00;8976
09.09.2014 00:00;8586
10.09.2014 00:00;8425
11.09.2014 00:00;8470
12.09.2014 00:00;10317
13.09.2014 00:00;10770
14.09.2014 00:00;9308
15.09.2014 00:00;7833
16.09.2014 00:00;7510
17.09.2014 00:00;7401
18.09.2014 00:00;7648
19.09.2014 00:00;9337
20.09.2014 00:00;9503
21.09.2014 00:00;8383
22.09.2014 00:00;7277
23.09.2014 00:00;7093
24.09.2014 00:00;6656
25.09.2014 00:00;7217
26.09.2014 00:00;8914
27.09.2014 00:00;9003
28.09.2014 00:00;13617
29.09.2014 00:00;14327
30.09.2014 00:00;12623
01.10.2014 00:00;12085
02.10.2014 00:00;10617
03.10.2014 00:00;12152
04.10.2014 00:00;11821
05.10.2014 00:00;10317
06.10.2014 00:00;8540
07.10.2014 00:00;8184
08.10.2014 00:00;7649
09.10.2014 00:00;7996
10.10.2014 00:00;9650
11.10.2014 00:00;9854
12.10.2014 00:00;8720
13.10.2014 00:00;7330
14.10.2014 00:00;6598
15.10.2014 00:00;6268
16.10.2014 00:00;6331
17.10.2014 00:00;7918
18.10.2014 00:00;7826
19.10.2014 00:00;6963
20.10.2014 00:00;6097
21.10.2014 00:00;5928
22.10.2014 00:00;5722
23.10.2014 00:00;5982
24.10.2014 00:00;7286
25.10.2014 00:00;7489
26.10.2014 00:00;7059
27.10.2014 00:00;5845
28.10.2014 00:00;5523
29.10.2014 00:00;5431
30.10.2014 00:00;5358
31.10.2014 00:00;6552
01.11.2014 00:00;6990
02.11.2014 00:00;6848
03.11.2014 00:00;5398
04.11.2014 00:00;4940
05.11.2014 00:00;4859
06.11.2014 00:00;5136
07.11.2014 00:00;6140
08.11.2014 00:00;6318
09.11.2014 00:00;6123
10.11.2014 00:00;4974
11.11.2014 00:00;4899
12.11.2014 00:00;4445
13.11.2014 00:00;4567
14.11.2014 00:00;5448
15.11.2014 00:00;5586
16.11.2014 00:00;5356
17.11.2014 00:00;4200
18.11.2014 00:00;3826
19.11.2014 00:00;3847
20.11.2014 00:00;3794
21.11.2014 00:00;3862
22.11.2014 00:00;4789
23.11.2014 00:00;4637
24.11.2014 00:00;3832
25.11.2014 00:00;3999
26.11.2014 00:00;3977
27.11.2014 00:00;4007
28.11.2014 00:00;4287
29.11.2014 00:00;4348
30.11.2014 00:00;4145
01.12.2014 00:00;10976
02.12.2014 00:00;3499
03.12.2014 00:00;3375
04.12.2014 00:00;3646
05.12.2014 00:00;3736
06.12.2014 00:00;4635
07.12.2014 00:00;4653
08.12.2014 00:00;3810
09.12.2014 00:00;3698
10.12.2014 00:00;3557
11.12.2014 00:00;3721
12.12.2014 00:00;4516
13.12.2014 00:00;4650
14.12.2014 00:00;4583
15.12.2014 00:00;3615
16.12.2014 00:00;3543
17.12.2014 00:00;3888
18.12.2014 00:00;7714
19.12.2014 00:00;10491
20.12.2014 00:00;11006
21.12.2014 00:00;10957
22.12.2014 00:00;10159
23.12.2014 00:00;9753
24.12.2014 00:00;9260
25.12.2014 00:00;10200
26.12.2014 00:00;10697
27.12.2014 00:00;10976
28.12.2014 00:00;11047
29.12.2014 00:00;10469
30.12.2014 00:00;10460
31.12.2014 00:00;11944
01.01.2015 00:00;13159
02.01.2015 00:00;13029
03.01.2015 00:00;13159
04.01.2015 00:00;13137
05.01.2015 00:00;10892
06.01.2015 00:00;10209
07.01.2015 00:00;9903
08.01.2015 00:00;9625
09.01.2015 00:00;11104
10.01.2015 00:00;11157
11.01.2015 00:00;11126
12.01.2015 00:00;8675
13.01.2015 00:00;8638
14.01.2015 00:00;8004
15.01.2015 00:00;8084
16.01.2015 00:00;9617
17.01.2015 00:00;9848
18.01.2015 00:00;9608
19.01.2015 00:00;8027
20.01.2015 00:00;7626
21.01.2015 00:00;7108
22.01.2015 00:00;7350
23.01.2015 00:00;8792
24.01.2015 00:00;8945
25.01.2015 00:00;8720
26.01.2015 00:00;6957
27.01.2015 00:00;6176
28.01.2015 00:00;6124
29.01.2015 00:00;6241
30.01.2015 00:00;7674
31.01.2015 00:00;8055
01.02.2015 00:00;9439
02.02.2015 00:00;6192
03.02.2015 00:00;5823
04.02.2015 00:00;7803
05.02.2015 00:00;7803
06.02.2015 00:00;7663
07.02.2015 00:00;7663
08.02.2015 00:00;7663
09.02.2015 00:00;7663
10.02.2015 00:00;5304
11.02.2015 00:00;3331
12.02.2015 00:00;3331
13.02.2015 00:00;7530
14.02.2015 00:00;8000
15.02.2015 00:00;7845
16.02.2015 00:00;
17.02.2015 00:00;6088
18.02.2015 00:00;6081
19.02.2015 00:00;6186
20.02.2015 00:00;7513
21.02.2015 00:00;7761
22.02.2015 00:00;7499
23.02.2015 00:00;5751
24.02.2015 00:00;5650
25.02.2015 00:00;
26.02.2015 00:00;
27.02.2015 00:00;
28.02.2015 00:00;
01.03.2015 00:00;7312
02.03.2015 00:00;
03.03.2015 00:00;
04.03.2015 00:00;
05.03.2015 00:00;
06.03.2015 00:00;
07.03.2015 00:00;
08.03.2015 00:00;
09.03.2015 00:00;
10.03.2015 00:00;
11.03.2015 00:00;
12.03.2015 00:00;
13.03.2015 00:00;
14.03.2015 00:00;
15.03.2015 00:00;
16.03.2015 00:00;
17.03.2015 00:00;
18.03.2015 00:00;
19.03.2015 00:00;
20.03.2015 00:00;
21.03.2015 00:00;
22.03.2015 00:00;
23.03.2015 00:00;
24.03.2015 00:00;
25.03.2015 00:00;
26.03.2015 00:00;
27.03.2015 00:00;
28.03.2015 00:00;
29.03.2015 00:00;
30.03.2015 00:00;
31.03.2015 00:00;
01.04.2015 00:00;6352
02.04.2015 00:00;
03.04.2015 00:00;
04.04.2015 00:00;
05.04.2015 00:00;
06.04.2015 00:00;
07.04.2015 00:00;
08.04.2015 00:00;
09.04.2015 00:00;
10.04.2015 00:00;
11.04.2015 00:00;
12.04.2015 00:00;
13.04.2015 00:00;
14.04.2015 00:00;
15.04.2015 00:00;
16.04.2015 00:00;
17.04.2015 00:00;
18.04.2015 00:00;
19.04.2015 00:00;4069
20.04.2015 00:00;3189
21.04.2015 00:00;3263
22.04.2015 00:00;3035
23.04.2015 00:00;3025
24.04.2015 00:00;2947
25.04.2015 00:00;3711
26.04.2015 00:00;3803
27.04.2015 00:00;2909
28.04.2015 00:00;2781
29.04.2015 00:00;2662
30.04.2015 00:00;2733
01.05.2015 00:00;2946
02.05.2015 00:00;3319
03.05.2015 00:00;3513
04.05.2015 00:00;2693
05.05.2015 00:00;2594
06.05.2015 00:00;2523
07.05.2015 00:00;2445
08.05.2015 00:00;2595
09.05.2015 00:00;2964
10.05.2015 00:00;3043
11.05.2015 00:00;2393
12.05.2015 00:00;2343
13.05.2015 00:00;2275
14.05.2015 00:00;2278
15.05.2015 00:00;2350
16.05.2015 00:00;2801
17.05.2015 00:00;2892
18.05.2015 00:00;2299
19.05.2015 00:00;2127
20.05.2015 00:00;2026
21.05.2015 00:00;1981
22.05.2015 00:00;2084
23.05.2015 00:00;2354
24.05.2015 00:00;2438
25.05.2015 00:00;2282
26.05.2015 00:00;1931
27.05.2015 00:00;1842
28.05.2015 00:00;1854
29.05.2015 00:00;1954
30.05.2015 00:00;2231
31.05.2015 00:00;2281
01.06.2015 00:00;1893
